OperationId,Person,RegAddrKoatuu,OperationCode,OperationName,DateReg,DepCode,DepartmentName,Brand,Model,Vin,MakeYear,Color,Kind,Body,Purpose,Fuel,Capacity,OwnWeight,TotalWeight,NumberRegNew
123,P,3210600000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,06/15/2022 00:00:00,12294,ТСЦ 8045,BMW,X5,5YMGY0C5XALK25810,01/01/2009 00:00:00,СИНІЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,4395,2300,2800,КА1126НЕ
124,P,4823055100,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,08/29/2022 00:00:00,12378,ТСЦ 7142,ВАЗ,217130,XTA217130C0085895,01/01/2012 00:00:00,ЧЕРВОНИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1596,1100,1593,СА5389ІР
125,P,6323310100,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,12/03/2022 00:00:00,10000,OLD_ДДАІ МВС УКРАЇНИ,KIA,SPORTAGE,U5YPB815ACL114966,01/01/2011 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1685,1455,1980,АХ2676МН
126,P,2121284401,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,12/24/2022 00:00:00,12396,ТСЦ 2146,VOLKSWAGEN,CADDY,WV1ZZZ2KZ5X048369,01/01/2004 00:00:00,БІЛИЙ,ЛЕГКОВИЙ,ПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1896,1406,2235,АО7309НР
127,P,1415000000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,04/08/2022 00:00:00,13960,ТСЦ 8048,AUDI,A6,WAUZZZ4G3DN005143,01/01/2012 00:00:00,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,2773,1645,2150,КА1289НР
128,P,6810100000,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07/06/2022 00:00:00,12371,ТСЦ 6841,TOYOTA,COROLLA,SB1KZ28EX0F015696,01/01/2005 00:00:00,СИНІЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1587,1010,1490,ВХ7466НІ
129,P,3220683601,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07/15/2022 00:00:00,12282,ТСЦ 3243,RENAULT,TRAFIC,VF1FLACA65Y067062,01/01/2004 00:00:00,ЖОВТИЙ,ЛЕГКОВИЙ,ВАНТАЖОПАСАЖИРСЬКИЙ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1870,1677,2700,АІ3398ОІ
130,P,1210137800,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),01/18/2022 00:00:00,12240,ТСЦ 1241,MITSUBISHI,LANCER,JMBSRCS3A5U014469,01/01/2005 00:00:00,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН АБО ГАЗ,1584,1305,1750,АЕ5572ТА
131,P,6810100000,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),09/15/2022 00:00:00,12371,ТСЦ 6841,MERCEDES-BENZ,SPRINTER 416 CDI,WDB9046632R871499,01/01/2005 00:00:00,СІРИЙ,ВАНТАЖНИЙ,ФУРГОН РЕФРИЖЕРАТОР,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2686,2300,4600,ВХ9716НЕ
132,P,6810100000,440,ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ,09/14/2022 00:00:00,12371,ТСЦ 6841,MERCEDES-BENZ,SPRINTER 416 CDI,WDB9046632R871499,01/01/2005 00:00:00,СІРИЙ,ВАНТАЖНИЙ,ФУРГОН РЕФРИЖЕРАТОР,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2686,2300,4600,ВХ9283ВН
